"Sacramento, CA",116.2,135.7
"Salina, KS",86.9,76
"Salt, Lake, City, UT",100.6,108
"San, Angelo, TX",92.4,84
"San, Antonio, TX",95.7,95.3
"San, Diego, CA",132.3,194.4
"San, Francisco, CA",164,281
"San, Jose, CA",156.1,260.3
"San, Marcos, TX",94.8,100.1
"Sarasota, FL",101.5,102.9
"Savannah, GA",93.5,84
"Seattle, WA",121.4,140.3
"Seguin, TX",90.7,78.5
"Sheboygan, WI",101.4,97.5
"Shreveport-Bossier, City, LA",95.3,93.5
"Sierra, Vista, AZ",97.9,99.7
"Sioux, Falls, SD",94.1,86.6
"Slidell-St., Tammany, Parish, LA",97,101
"South, Bend, IN",91.9,84.2
"Spokane, WA",93.9,85.7
"Springfield, IL",85.8,70.1
"Springfield, MO",88,76.8
"St., Cloud, MN",98.3,80.7
"St., George, UT",95.9,94.2
"St., Joseph, MO",92.3,86.5
"St., Louis, MO-IL",90.4,74.6
"St., Paul, MN",110,112.9
"Stamford, CT",146.9,212.6
"Staunton-Augusta, County, VA",96.2,93.7
"Stillwater, OK",90.1,81.2
"Sumter, SC",96.3,90.2
"Syracuse, NY",101.5,91.4
"Tacoma, WA",109.5,116.6
"Tampa, FL",92.4,84.7
"Temple, TX",87.4,71.8
"Thomasville-Lexington, NC",89.2,77.2
"Topeka, KS",91.8,84
"Troy-Miami, County, OH",95.4,83.9
"Truckee-Nevada, County, CA",146.9,208.3
"Tucson, AZ",96.5,91.9
"Tulsa, OK",88.4,66.5
"Tupelo, MS",88.1,72.3
"Tuscaloosa, AL",94.6,80.6
"Twin, Falls, ID",91.5,81.4
"Tyler, TX",96.3,91.5
"Valdosta, GA",94.1,85.3
"Vancouver, WA",94.8,82.2
"Vero, Beach-Indian, River, FL",97.4,83.5
"Waco, TX",88.9,88.5
"Washington-Arlington-Alexandria, DC-VA",140.1,226.4
"Waterloo-Cedar, Falls, IA",91.7,89.6
"Wausau, WI",96.5,89.6
"Weatherford, TX",91.4,79.7
"Wichita, Falls, TX",86.5,84
"Wichita, KS",91.8,83.6
"Williamsport-Lycoming, Co, PA",100.7,96.3
"Wilmington, DE",105.2,102
"Wilmington, NC",98.8,89.7
"Winchester, VA-WV",102.3,94.5
"Winston-Salem, NC",92.4,82.9
"Wooster, OH",92.6,72.1
"Yakima, WA",95.8,86.9
"York, County, PA",102.1,106
"Youngstown-Warren, OH",90.4,77.7
"Yuma, AZ",101.2,96.4
,,
Read more: Cost of Living Index for Selected U.S. Cities | Infoplease.com http://www.infoplease.com/business/economy/cost-living-index-us-cities.html#ixzz3Ij6CYWNE,,
